#using marijuana$1
suicidality$1
suicidal ideation$1
suicide ideation$1
suicidal ideations$1
suicide ideations$1
#homicidal ideation$1
suicide attempt$10
suicide attempts$10
suicidal attempt$10
suicidal attempts$10
kill himself$10
kill herself$10
#hang$1
attempted suicide$10
attempted suicides$10
wanted to die$10
want to die$10
wants to die$10
in order to die$10
#going to die$0
meant to die$10
wanting to die$10
let me die$10
try to die$10
tried to die$10
trying to die$10
intent to die$10
would rather die$1
let her die$10
let him die$10
suicide urges$1
to end her life by$10
to end his life by$10
suicide_attempts_1$10
suicide_attempts_2$10
suicide_attempts_3$10
suicide_attempts_4$10
suicide_attempts_5$10
suicide_attempts_6$10
suicide_attempts_7$10
suicide_attempts_8$10
suicide_attempts_9$10
suicide_attempts_10$10
Self Harm$1
#used marijuana$1
